Tab,Name,State,Value,Cost,Avg
1,John Smith,TX,42.1,7900,187.65
1,Henry Black,NC,11.2,7800,696.43
1,Greg Guiwargis,TN,42.35,7722,182.34
1,Frank Apples,MA,22,4300,195.45
1,Sarah Jameson,NV,45,3453,76.73
1,John Smith,TX,11.2,8200,732.14
1,Henry Black,NC,12.3,5600,455.28
1,Greg Guiwargis,TN,44.2,3223,72.92
1,Frank Apples,MA,23.5,6500,276.6
1,Sarah Jameson,NV,12.3,7900,642.28
1,Sarah Jameson,NV,44.2,7900,178.73
2,Billy Butler,DD,23.5,7800,331.91
2,Hank Aaron,TY,23.5,7722,328.6
2,Cliff Kingsbury,YU,4.2,4300,1023.81
2,Billy Butler,DD,32,3453,107.91
2,Hank Aaron,TY,51.2,7722,150.82
2,Cliff Kingsbury,YU,32,4300,134.38
2,Billy Butler,DD,4.2,7800,1857.14
2,Hank Aaron,TY,32,7722,241.31
2,Cliff Kingsbury,YU,51.2,4300,83.98
2,Billy Butler,DD,32,7800,243.75
3,James Anglin,TX,4.2,4500,1071.43
3,George Foreman,ME,3.2,7000,2187.5
3,Milly Mutler,TN,33.2,3500,105.42
3,Frank Teward,RA,32.3,4500,139.32
3,James Anglin,TX,55.2,4500,81.52
3,George Foreman,ME,3.2,7000,2187.5
3,Milly Mutler,TN,33.2,3500,105.42
3,Frank Teward,RA,3.2,4500,1406.25
3,James Anglin,TX,33.2,7900,237.95
3,George Foreman,ME,22.67,8200,361.71
3,Milly Mutler,TN,32.24,5600,173.7
3,Frank Teward,RA,12.4,5600,451.61
3,James Anglin,TX,23.2,4200,181.03
3,George Foreman,ME,11.6,3320,286.21
3,Milly Mutler,TN,22.67,3430,151.3
3,Frank Teward,RA,22.67,1000,44.11
4,Wendy Wallace,ES,44.2,4200,95.02
4,Frank Sinatra,TT,32,3320,103.75
4,Blake Leapold,DD,51.2,3430,66.99
4,Hank Hornsby,TU,32,1000,31.25
4,Wendy Wallace,ES,44.3,1000,22.57
4,Frank Sinatra,TT,43.1,4200,97.45
4,Blake Leapold,DD,31.2,3320,106.41
4,Hank Hornsby,TU,33.2,3430,103.31
4,Wendy Wallace,ES,22.67,1000,44.11
4,Frank Sinatra,TT,32.24,4200,130.27
4,Blake Leapold,DD,12.4,7000,564.52
4,Hank Hornsby,TU,32,3500,109.38
4,Wendy Wallace,ES,32,4500,140.63
4,Frank Sinatra,TT,32,7900,246.88
4,Blake Leapold,DD,51.2,8200,160.16
4,Hank Hornsby,TU,32,3430,107.19
5,July Jeaeps,RT,32.3,5400,167.18
5,Fully Fraown,TR,55.2,6700,121.38
5,Rgyou Tylope,WE,22.67,4500,198.5
5,Tyler Perry,RE,44.2,5400,122.17
5,July Jeaeps,RT,32,6700,209.38
5,Fully Fraown,TR,51.2,5400,105.47
5,Rgyou Tylope,WE,32,4033,126.03
5,Tyler Perry,RE,44.3,2200,49.66
5,Rgyou Tylope,WE,43.1,4033,93.57
5,Tyler Perry,RE,31.2,2200,70.51
6,Guy Perice,SD,33.2,4500,135.54
6,Mary Madona,FR,22.67,5400,238.2
6,Doug Diggler,QW,31.2,6700,214.74
6,Guy Perice,SD,32,5400,168.75
6,Mary Madona,FR,44.3,4033,91.04
6,Doug Diggler,QW,43.1,2200,51.04
